"Site Title","Site Url","Percentage Used","Storage Used (MB)","Storage Quota (MB)"
"Desenvolvimento","https://skylan.sharepoint.com/sites/Desenvolvimento","0","1","1048576"
"Clientes","https://skylan.sharepoint.com/sites/Clientes","0","1","1048576"
"LUZ AUDIOVISUAL Projeto LGPD + SI - Fase 1","https://skylan.sharepoint.com/sites/LUZAUDIOVISUALProjetoLGPDSI-Fase1","0","1","1048576"
"PCSI - Via Expressa","https://skylan.sharepoint.com/sites/PCSI-ViaExpressa","0","1","1048576"
"T?cnica - SkyHeads","https://skylan.sharepoint.com/sites/Analistas2-SkyHeads","0","1","1048576"
"Report Atendimento","https://skylan.sharepoint.com/sites/ReportAtendimento","0","1","1048576"
"PowerSky - Norber","https://skylan.sharepoint.com/sites/PowerSky-Norber","0","1","1048576"
"TeamsFuncionalidades","https://skylan.sharepoint.com/sites/TeamsFuncionalidades","0","1","1048576"
"Anfavea - Auditoria","https://skylan.sharepoint.com/sites/Anfavea-Auditoria","0","1","1048576"
"CALL SEMANAL STAR","https://skylan.sharepoint.com/sites/CALLSEMANALSTAR","0","19","1048576"
"Diretoria","https://skylan.sharepoint.com/sites/Diretoria","0","1","1048576"
"Power Sky - Fechamento","https://skylan.sharepoint.com/sites/PowerSky-Fechamento","0","1","1048576"
"Power Sky - EDG","https://skylan.sharepoint.com/sites/PowerSky-EDG","0","1","1048576"
"Pesquisa","https://skylan.sharepoint.com/search","2,9","29","1000"
"Integra??es","https://skylan.sharepoint.com/sites/Integraes","0","3","1048576"
"Diretoria - SKYLEADER","https://skylan.sharepoint.com/sites/Diretoria-TemasEspeciais","0","50","1048576"
"PCSI - Kyra","https://skylan.sharepoint.com/sites/PCSI-Kyra","0","1","1048576"
"Skylan Technology","https://skylan.sharepoint.com/sites/SkylanTechnology","0,66","6898","1048576"
"2019 - SE Plan","https://skylan.sharepoint.com/sites/2019-SEPlan","0","1","1048576"
"Redex - Office 365 e Oracle (Protheus)","https://skylan.sharepoint.com/sites/Redex-Office365eOracleProtheus","0","1","1048576"
"PowerSky - Comvivencia","https://skylan.sharepoint.com/sites/PowerSky-Comvivencia","0","1","1048576"
"PowerSky-Kabbach","https://skylan.sharepoint.com/sites/PowerSky-Kabbach","0","1","1048576"
"VIA EXPRESSA - SI","https://skylan.sharepoint.com/sites/VIAEXPRESSA-SI","0","1","1048576"
"PowerSky - Abramat","https://skylan.sharepoint.com/sites/PowerSky-Abramat9","0","1","1048576"
"PowerSky - Soliton","https://skylan.sharepoint.com/sites/PowerSky-Soliton","0","1","1048576"
